TestDescription,Unit,Value,Component
507030 HSD Read ADC Fan Sense, Dec,-9999,L100
508010 INIT BOOST 30V, Bol,-144,L100
508020 INIT BUCK, Bol,-144,L100
501050 LIN Voltage, V,.0101,L100
501060 Read SW Version, Hex,21474,L100
501070 Check SW Version, Bol,-1,L100
501080 Change to Programming Session, Dec,21474,L100
501090 Read Serial Number, Hex,21474,L100
501100 Check Serial Number, Bol,-1,L100
501110 Read Bootloader SW Version, Hex,21474,L100
501120 Check Bootloader Version, Dec,1,L100
501170 Change to Default Session, Dec,21474,L100
501180 Read PN Suffix, Dec,21474,L100
501190 Check PN Suffix, bin,1,L100
501200 Read HW Version, Dec,21474,L100
501210 Check HW Version, bin,1,L100
502020 EOL Change Session, Dec,21474,L100
502030 EOL Enter EOL mode, Hex,21474,L100
502040 EOL Activation EOL, Bol,21474,L100
502050 EOL Get Security Access, Hex,21474,L100
502060 EOL Validate Key to ECU, Hex,21474,L100
502070 EOL Check EOL mode, Bol,21474,L100
502080 EOL Download TBX, Bol,21474,L100
502090 Stand by Current, mA,104.2,L100
502100 INIT uC Port Registers, Bol,-197,L100
503010 PS P0 LR Detect Feedback, Dec,-9999,L100
503020 PS P0 LB Feedback, Dec,19513,L100
503030 PS P0 HB Feedback, Dec,74019,L100
503050 PS P0 DTRL Feedback, Dec,38768,L100
503060 PS P0 Check DI DRL, Hex,0,L100
503070 PS P1 LR Detect Feedback, Dec,-9999,L100
504010 AI P0 Read ADC NTC-LB, Dec,-9999,L100
504020 AI P0 Read ADC NTC-HB, Dec,0,L100
504030 AI P0 Read ADC NTC-DRL, Dec,74019,L100
504040 AI P0 Read ADC NTC-TI, Dec,-1946,L100
504050 AI P0 Read ADC BINNING-LB, Dec,0,L100
504060 AI P0 Read ADC BINNING-DTRL, Dec,19513,L100
504070 AI P0 Read ADC BINNING-TI, Dec,74019,L100
504080 AI P1 Read ADC NTC-LB, Dec,-9999,L100
504090 AI P1 Read ADC NTC-HB, Dec,19513,L100
504100 AI P1 Read ADC NTC-DRL, Dec,74019,L100
504110 AI P1 Read ADC NTC-TI, Dec,-2147,L100
504120 AI P1 Read ADC BINNING-LB, Dec,1400,L100
504130 AI P1 Read ADC BINNING-DRL, Dec,0,L100
504140 AI P1 Read ADC BINNING-TI, Dec,74019,L100
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,-2147,L100
504160 AI P1 Read ADC TEMP REF, Dec,1402,L100
504165 AI P1 Disable VRef analogs, Bol,-144,L100
504170 AI P1 Read ADC PCB TEMP OFF, Dec,-9999,L100
504180 AI P1 Read ADC TEMP REF OFF, Dec,19513,L100
506032 LSD set PWMs 50%, Bol,-144,L100
506034 LSD HB_IN Frequency, Hz,86210,L100
506036 LSD HB_IN Duty cycle, %,14.99,L100
506038 LSD set PWMs Off, Bol,-144,L100
506040 LSD Set P0, Bol,-144,L100
506075 LSD LB Disable HB, Bol,-144,L100
506090 LSD LB Voltage Inactive, V,.7352,L100
506100 LSD LB Current High, mA,1505.,L100
507030 HSD Read ADC Fan Sense, Dec,-9999,L100
508010 INIT BOOST 30V, Bol,-144,L100
508020 INIT BUCK, Bol,-144,L100
55120 DTRL2 String1 Cathode Voltag, V,4.198,T116
55120 DTRL2 String1 Cathode Voltag, V,4.195,T116
55120 DTRL2 String1 Cathode Voltag, V,4.214,T116
509050_BST CHK Phase 3, Dec,36,T408
509050_BST CHK Phase 3, Dec,36,T408
509050_BST CHK Phase 3, Dec,36,T408
509050_BST CHK Phase 3, Dec,37,T408
509050_BST CHK Phase 3, Dec,36,T408
509050_BST CHK Phase 3, Dec,36,T408
509050_BST CHK Phase 3, Dec,37,T408
505072_OC Read ADC SM CONTROL, Dec,68,IC200
505144_OC Read ADC SM CONTROL, Dec,185,IC200
505072_OC Read ADC SM CONTROL, Dec,69,IC200
505144_OC Read ADC SM CONTROL, Dec,184,IC200
505072_OC Read ADC SM CONTROL, Dec,71,IC200
505144_OC Read ADC SM CONTROL, Dec,185,IC200
530030 CAL CH1 Voltage High FB, V,0,D1002
530040 CAL CH1 Voltage Meas Vf High, V,14.68,D1002
530050 CAL CH2 Voltage High FB, V,0,D1002
530070 CAL CH3 Voltage High FB, V,0,D1002
530080 CAL CH3 Voltage Meas Vf High, V,8.266,D1002
530120 CAL CH1 Voltage Low FB, V,0,D1002
530140 CAL CH2 Voltage Low FB, V,1.977,D1002
530160 CAL CH3 Voltage Low FB, V,.8109,D1002
530030 CAL CH1 Voltage High FB, V,0,D1002
530040 CAL CH1 Voltage Meas Vf High, V,14.65,D1002
530050 CAL CH2 Voltage High FB, V,0,D1002
530070 CAL CH3 Voltage High FB, V,0,D1002
530080 CAL CH3 Voltage Meas Vf High, V,8.286,D1002
530120 CAL CH1 Voltage Low FB, V,0,D1002
530140 CAL CH2 Voltage Low FB, V,0,D1002
530160 CAL CH3 Voltage Low FB, V,0,D1002
530030 CAL CH1 Voltage High FB, V,0,D1002
530040 CAL CH1 Voltage Meas Vf High, V,14.73,D1002
530050 CAL CH2 Voltage High FB, V,0,D1002
530070 CAL CH3 Voltage High FB, V,0,D1002
530080 CAL CH3 Voltage Meas Vf High, V,8.299,D1002
530120 CAL CH1 Voltage Low FB, V,.8820,D1002
530140 CAL CH2 Voltage Low FB, V,0,D1002
530160 CAL CH3 Voltage Low FB, V,.8109,D1002
530210 CAL CH1 Voltage k1, Calc,-10.8,D1002
530220 CAL CH1 Voltage d1, Calc,14.73,D1002
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,885,R340
5_Erase_Flash, P/F,0,L902
509050 BST CHK Phase 3, Dec,36,L902
509050 BST CHK Phase 3, Dec,36,L902
509050 BST CHK Phase 3, Dec,36,L902
503010_Current_Consumption, mA,707.8,C1100
503010_Current_Consumption, mA,703.8,C1100
509030_BST CHK Phase 2, Dec,36,L902
521610_Leakage 8A ANODESBL2/3+SLB4/5, mA,2096.,L902
509030_BST CHK Phase 2, Dec,36,L902
521610_Leakage 8A ANODESBL2/3+SLB4/5, mA,2093.,L902
509030_BST CHK Phase 2, Dec,36,L902
521610_Leakage 8A ANODESBL2/3+SLB4/5, mA,2106.,L902
509010 BST CHK Phase 1, Dec,255,R216
509030 BST CHK Phase 2, Dec,0,R216
509050 BST CHK Phase 3, Dec,0,R216
530030 CAL CH1 Voltage High FB, V,0,R216
530040 CAL CH1 Voltage Meas Vf High, V,.0002,R216
530050 CAL CH2 Voltage High FB, V,0,R216
530060 CAL CH2 Voltage Meas Vf High, V,.0007,R216
530070 CAL CH3 Voltage High FB, V,0,R216
530080 CAL CH3 Voltage Meas Vf High, V,.0000,R216
530120 CAL CH1 Voltage Low FB, V,0,R216
530130 CAL CH1 Voltage Meas Vf Low, V,.0002,R216
530140 CAL CH2 Voltage Low FB, V,0,R216
530150 CAL CH2 Voltage Meas Vf Low, V,.0006,R216
530160 CAL CH3 Voltage Low FB, V,0,R216
530170 CAL CH3 Voltage Meas Vf Low, V,.0000,R216
509010 BST CHK Phase 1, Dec,255,R216
509030 BST CHK Phase 2, Dec,0,R216
509050 BST CHK Phase 3, Dec,0,R216
530030 CAL CH1 Voltage High FB, V,0,R216
530040 CAL CH1 Voltage Meas Vf High, V,.0005,R216
530050 CAL CH2 Voltage High FB, V,0,R216
530060 CAL CH2 Voltage Meas Vf High, V,.0016,R216
530070 CAL CH3 Voltage High FB, V,0,R216
530080 CAL CH3 Voltage Meas Vf High, V,.0004,R216
530120 CAL CH1 Voltage Low FB, V,0,R216
530130 CAL CH1 Voltage Meas Vf Low, V,.0005,R216
530140 CAL CH2 Voltage Low FB, V,0,R216
530150 CAL CH2 Voltage Meas Vf Low, V,.0016,R216
530160 CAL CH3 Voltage Low FB, V,0,R216
530170 CAL CH3 Voltage Meas Vf Low, V,.0004,R216
507040 HSD Voltage High, V,.0004,R811
507050 HSD Current High, mA,.4823,R811
507080 HSD Read ADC Fan Sense On, Dec,0,R811
507040 HSD Voltage High, V,.0003,R811
507050 HSD Current High, mA,.0840,R811
507080 HSD Read ADC Fan Sense On, Dec,0,R811
507040 HSD Voltage High, V,.0003,R811
507050 HSD Current High, mA,.0568,R811
507080 HSD Read ADC Fan Sense On, Dec,0,R811
507040 HSD Voltage High, V,.0012,R811
507050 HSD Current High, mA,.0590,R811
507080 HSD Read ADC Fan Sense On, Dec,0,R811
509010_BST CHK Phase 1, Dec,0,R104
509030_BST CHK Phase 2, Dec,0,R104
509050_BST CHK Phase 3, Dec,0,R104
509070_BST CHK Phase 4, Dec,0,R104
530030_CAL CH1 Voltage High FB, V,0,R104
530040_CAL CH1 Voltage Meas Vf High, V,.0496,R104
530050_CAL CH2 Voltage High FB, V,0,R104
530060_CAL CH2 Voltage Meas Vf High, V,.0518,R104
530070_CAL CH3 Voltage High FB, V,0,R104
530080_CAL CH3 Voltage Meas Vf High, V,.0503,R104
530090_CAL CH4 Voltage High FB, V,0,R104
530100_CAL CH4 Voltage Meas Vf High, V,.0528,R104
530120_CAL CH1 Voltage Low FB, V,0,R104
530130_CAL CH1 Voltage Meas Vf Low, V,.0498,R104
530140_CAL CH2 Voltage Low FB, V,0,R104
530150_CAL CH2 Voltage Meas Vf Low, V,.0519,R104
530160_CAL CH3 Voltage Low FB, V,0,R104
530170_CAL CH3 Voltage Meas Vf Low, V,.0503,R104
530180_CAL CH4 Voltage Low FB, V,0,R104
530190_CAL CH4 Voltage Meas Vf Low, V,.0529,R104
509010_BST CHK Phase 1, Dec,0,R104
509030_BST CHK Phase 2, Dec,0,R104
509050_BST CHK Phase 3, Dec,0,R104
509070_BST CHK Phase 4, Dec,0,R104
530030_CAL CH1 Voltage High FB, V,0,R104
530040_CAL CH1 Voltage Meas Vf High, V,.0508,R104
530050_CAL CH2 Voltage High FB, V,0,R104
530060_CAL CH2 Voltage Meas Vf High, V,.0529,R104
530070_CAL CH3 Voltage High FB, V,0,R104
530080_CAL CH3 Voltage Meas Vf High, V,.0515,R104
530090_CAL CH4 Voltage High FB, V,0,R104
530100_CAL CH4 Voltage Meas Vf High, V,.0540,R104
530120_CAL CH1 Voltage Low FB, V,0,R104
530130_CAL CH1 Voltage Meas Vf Low, V,.0508,R104
530140_CAL CH2 Voltage Low FB, V,0,R104
530150_CAL CH2 Voltage Meas Vf Low, V,.0529,R104
530160_CAL CH3 Voltage Low FB, V,0,R104
530170_CAL CH3 Voltage Meas Vf Low, V,.0515,R104
530180_CAL CH4 Voltage Low FB, V,0,R104
530190_CAL CH4 Voltage Meas Vf Low, V,.0541,R104
509010_BST CHK Phase 1, Dec,0,R104
509030_BST CHK Phase 2, Dec,0,R104
509050_BST CHK Phase 3, Dec,0,R104
509070_BST CHK Phase 4, Dec,0,R104
530030_CAL CH1 Voltage High FB, V,0,R104
530040_CAL CH1 Voltage Meas Vf High, V,.0497,R104
530050_CAL CH2 Voltage High FB, V,0,R104
530060_CAL CH2 Voltage Meas Vf High, V,.0518,R104
530070_CAL CH3 Voltage High FB, V,0,R104
530080_CAL CH3 Voltage Meas Vf High, V,.0504,R104
530090_CAL CH4 Voltage High FB, V,0,R104
530100_CAL CH4 Voltage Meas Vf High, V,.0529,R104
530120_CAL CH1 Voltage Low FB, V,0,R104
530130_CAL CH1 Voltage Meas Vf Low, V,.0498,R104
530140_CAL CH2 Voltage Low FB, V,0,R104
530150_CAL CH2 Voltage Meas Vf Low, V,.0519,R104
530160_CAL CH3 Voltage Low FB, V,0,R104
530170_CAL CH3 Voltage Meas Vf Low, V,.0505,R104
530180_CAL CH4 Voltage Low FB, V,0,R104
530190_CAL CH4 Voltage Meas Vf Low, V,.0530,R104
505060_[A-18] OC Read ADC TI_FAULT, Dec,366,R502
505140_[A-18] OC Read ADC TI_FAULT, Dec,12,R502
505060_[A-18] OC Read ADC TI_FAULT, Dec,366,R502
505140_[A-18] OC Read ADC TI_FAULT, Dec,12,R502
505060_[A-18] OC Read ADC TI_FAULT, Dec,366,R502
505140_[A-18] OC Read ADC TI_FAULT, Dec,12,R502
504010_[C-08] AI P0 Read ADC 8C NTC LB, Dec,261,RN302
504020_[C-09] AI P0 Read ADC 9C NTC HB, Dec,794,RN302
504120_[C-09] AI P1 Read ADC 9C NTC HB, Dec,278,RN302
504010_[C-08] AI P0 Read ADC 8C NTC LB, Dec,263,RN302
504020_[C-09] AI P0 Read ADC 9C NTC HB, Dec,792,RN302
504120_[C-09] AI P1 Read ADC 9C NTC HB, Dec,280,RN302
504010_[C-08] AI P0 Read ADC 8C NTC LB, Dec,264,RN302
504020_[C-09] AI P0 Read ADC 9C NTC HB, Dec,790,RN302
504120_[C-09] AI P1 Read ADC 9C NTC HB, Dec,282,RN302
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
500010_PCHK RUNNING_LGT, Ohm,5233.,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0004,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0004,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0004,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0004,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0003,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
244_Read_DTCs, P/F,0,I001
244_Read_DTCs, P/F,0,I001
503010_Current_Consumption, mA,4.280,D1401
503010_Current_Consumption, mA,4.500,D1401
503010_Current_Consumption, mA,4.501,D1401
503010_Current_Consumption, mA,4.493,D1401
55610 TI String1 Anode Voltage, V,44.72,T112
55610 TI String1 Anode Voltage, V,44.62,T112
55620 TI String1 Cathode Voltage, V,4.145,T112
55120 DTRL2 String1 Cathode Voltag, V,24.58,T115
55120 DTRL2 String1 Cathode Voltag, V,24.67,T115
55120 DTRL2 String1 Cathode Voltag, V,24.45,T115
530030_CAL CH1 Voltage High FB, V,0,C1038
500410_[A-01][C-22] PCHK 22C ANODE CHANNEL 1, mA,1.899,C1038
507010 HSD Check DI_FAN, Hex,4,IC200
507010 HSD Check DI_FAN, Hex,4,IC200
507010 HSD Check DI_FAN, Hex,4,IC200
509010 BST CHK Phase 1, Dec,0,R210
509030 BST CHK Phase 2, Dec,0,R210
509050 BST CHK Phase 3, Dec,0,R210
530030 CAL CH1 Voltage High FB, V,0,R210
530040 CAL CH1 Voltage Meas Vf High, V,.0544,R210
530050 CAL CH2 Voltage High FB, V,0,R210
530060 CAL CH2 Voltage Meas Vf High, V,.0540,R210
530070 CAL CH3 Voltage High FB, V,0,R210
530080 CAL CH3 Voltage Meas Vf High, V,.0544,R210
530120 CAL CH1 Voltage Low FB, V,0,R210
530130 CAL CH1 Voltage Meas Vf Low, V,.0544,R210
530140 CAL CH2 Voltage Low FB, V,0,R210
530150 CAL CH2 Voltage Meas Vf Low, V,.0539,R210
530160 CAL CH3 Voltage Low FB, V,0,R210
530170 CAL CH3 Voltage Meas Vf Low, V,.0545,R210
509010 BST CHK Phase 1, Dec,0,R210
509030 BST CHK Phase 2, Dec,0,R210
509050 BST CHK Phase 3, Dec,0,R210
530030 CAL CH1 Voltage High FB, V,0,R210
530040 CAL CH1 Voltage Meas Vf High, V,.0567,R210
530050 CAL CH2 Voltage High FB, V,0,R210
530060 CAL CH2 Voltage Meas Vf High, V,.0564,R210
530070 CAL CH3 Voltage High FB, V,0,R210
530080 CAL CH3 Voltage Meas Vf High, V,.0568,R210
530120 CAL CH1 Voltage Low FB, V,0,R210
530130 CAL CH1 Voltage Meas Vf Low, V,.0568,R210
530140 CAL CH2 Voltage Low FB, V,0,R210
530150 CAL CH2 Voltage Meas Vf Low, V,.0563,R210
530160 CAL CH3 Voltage Low FB, V,0,R210
530170 CAL CH3 Voltage Meas Vf Low, V,.0568,R210
509010 BST CHK Phase 1, Dec,0,R210
509030 BST CHK Phase 2, Dec,0,R210
509050 BST CHK Phase 3, Dec,0,R210
530030 CAL CH1 Voltage High FB, V,0,R210
530040 CAL CH1 Voltage Meas Vf High, V,.0540,R210
530050 CAL CH2 Voltage High FB, V,0,R210
530060 CAL CH2 Voltage Meas Vf High, V,.0536,R210
530070 CAL CH3 Voltage High FB, V,0,R210
530080 CAL CH3 Voltage Meas Vf High, V,.0541,R210
530120 CAL CH1 Voltage Low FB, V,0,R210
530130 CAL CH1 Voltage Meas Vf Low, V,.0540,R210
530140 CAL CH2 Voltage Low FB, V,0,R210
530150 CAL CH2 Voltage Meas Vf Low, V,.0537,R210
530160 CAL CH3 Voltage Low FB, V,0,R210
530170 CAL CH3 Voltage Meas Vf Low, V,.0541,R210
504040 AI P0 Read ADC NTC-TI, Dec,277,C348
501010_PCHK Grounds, Ohm,9.999,X400
505010_FOG Measure I_Low, mA,2.537,R615
505010_FOG Measure I_Low, mA,5.570,R615
505010_FOG Measure I_Low, mA,9.945,R615
505010_FOG Measure I_Low, mA,9.875,R615
505010_FOG Measure I_Low, mA,10.05,R615
505010_FOG Measure I_Low, mA,7.570,R615
505010_FOG Measure I_Low, mA,7.596,R615
505010_FOG Measure I_Low, mA,7.553,R615
55110 DTRL2 String1 Anode Voltage, V,44.69,T116
55110 DTRL2 String1 Anode Voltage, V,44.61,T116
DHS5_Off_Volt, mV,2790,M750
DHS5_Off_Volt, mV,2850,M750
DHS5_Off_Volt, mV,358,M750
CAUSER,  ,42,M750
509050 BST CHK Phase 3, Dec,35,L902
509050 BST CHK Phase 3, Dec,35,L902
509050 BST CHK Phase 3, Dec,35,L902
506010_LCO P1 Voltage TI_FAULT, V,.0172,T504
506040_[B-22] LCO P1 Read ADC TI_FAULT, Dec,0,T504
506010_LCO P1 Voltage TI_FAULT, V,.0174,T504
506040_[B-22] LCO P1 Read ADC TI_FAULT, Dec,0,T504
506010_LCO P1 Voltage TI_FAULT, V,.0074,T504
506040_[B-22] LCO P1 Read ADC TI_FAULT, Dec,0,T504
501020_IDENT_Enter_session_03, Hex,14,IC200
501020_IDENT_Enter_session_03, Hex,14,IC200
501020_IDENT_Enter_session_03, Hex,14,IC200
501020_IDENT_Enter_session_03, Hex,14,IC200
501020_IDENT_Enter_session_03, Hex,14,IC200
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0001,C446
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0001,C446
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0000,C446
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0004,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506170_Diagnostic_DC_Voltage_at_ru, V,.0004,D500
506170_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
501060 Read SW Version, Hex,21474,IC100
501070 Check SW Version, Bol,-1,IC100
501080 Change to Programming Session, Dec,21474,IC100
501090 Read Serial Number, Hex,21474,IC100
501100 Check Serial Number, Bol,-1,IC100
501110 Read Bootloader SW Version, Hex,21474,IC100
501120 Check Bootloader Version, Dec,1,IC100
501170 Change to Default Session, Dec,21474,IC100
501180 Read PN Suffix, Dec,21474,IC100
501190 Check PN Suffix, bin,1,IC100
501200 Read HW Version, Dec,21474,IC100
501210 Check HW Version, bin,1,IC100
502020 EOL Change Session, Dec,21474,IC100
502030 EOL Enter EOL mode, Hex,21474,IC100
502040 EOL Activation EOL, Bol,21474,IC100
502050 EOL Get Security Access, Hex,21474,IC100
502060 EOL Validate Key to ECU, Hex,21474,IC100
502070 EOL Check EOL mode, Bol,21474,IC100
502080 EOL Download TBX, Bol,21474,IC100
502090 Stand by Current, mA,173.9,IC100
502100 INIT uC Port Registers, Bol,-307,IC100
503010 PS P0 LR Detect Feedback, Dec,-9999,IC100
503020 PS P0 LB Feedback, Dec,10610,IC100
503030 PS P0 HB Feedback, Dec,48565,IC100
503040 PS P0 TI Feedback, Dec,-1912,IC100
503050 PS P0 DTRL Feedback, Dec,28639,IC100
503060 PS P0 Check DI DRL, Hex,0,IC100
503070 PS P1 LR Detect Feedback, Dec,-9999,IC100
504010 AI P0 Read ADC NTC-LB, Dec,-9999,IC100
504020 AI P0 Read ADC NTC-HB, Dec,0,IC100
504030 AI P0 Read ADC NTC-DRL, Dec,49940,IC100
504040 AI P0 Read ADC NTC-TI, Dec,-2147,IC100
504050 AI P0 Read ADC BINNING-LB, Dec,26,IC100
504060 AI P0 Read ADC BINNING-DTRL, Dec,17740,IC100
504070 AI P0 Read ADC BINNING-TI, Dec,49940,IC100
504080 AI P1 Read ADC NTC-LB, Dec,-9999,IC100
504090 AI P1 Read ADC NTC-HB, Dec,17740,IC100
504100 AI P1 Read ADC NTC-DRL, Dec,49940,IC100
504110 AI P1 Read ADC NTC-TI, Dec,-2147,IC100
504120 AI P1 Read ADC BINNING-LB, Dec,36,IC100
504130 AI P1 Read ADC BINNING-DRL, Dec,0,IC100
504140 AI P1 Read ADC BINNING-TI, Dec,49940,IC100
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,-2147,IC100
504160 AI P1 Read ADC TEMP REF, Dec,38,IC100
504165 AI P1 Disable VRef analogs, Bol,-307,IC100
504170 AI P1 Read ADC PCB TEMP OFF, Dec,-9999,IC100
505010 OC TI_OUTAGE ON, Bol,-307,IC100
505020 OC Meas Voltage TI_OUTAGE ON, V,.0112,IC100
505030 OC Read ADC TI_FAULT ON, Dec,-9999,IC100
505035 OC Read ADC SUPP CTRL, Dec,17740,IC100
505040 OC TI_OUTAGE OFF, Bol,-307,IC100
505060 OC Read ADC TI_FAULT OFF, Dec,-9999,IC100
506032 LSD set PWMs 50%, Bol,-307,IC100
506034 LSD HB_IN Frequency, Hz,0,IC100
506036 LSD HB_IN Duty cycle, %,60.37,IC100
506038 LSD set PWMs Off, Bol,-307,IC100
506040 LSD Set P0, Bol,-307,IC100
506075 LSD LB Disable HB, Bol,-307,IC100
506090 LSD LB Voltage Inactive, V,.6977,IC100
506100 LSD LB Current High, mA,1501.,IC100
507020 HSD Set PWMO 100%, Bol,-307,IC100
507030 HSD Read ADC Fan Sense, Dec,-9999,IC100
507040 HSD Voltage High, V,.0028,IC100
507050 HSD Current High, mA,.2867,IC100
507060 HSD Set SEN On, Bol,-307,IC100
507070 HSD Check DI_FAN, Hex,0,IC100
507080 HSD Read ADC Fan Sense On, Dec,-9999,IC100
508010 INIT BOOST 30V, Bol,-307,IC100
508020 INIT BUCK, Bol,-307,IC100
501060 Read SW Version, Hex,21474,IC100
501070 Check SW Version, Bol,-1,IC100
501080 Change to Programming Session, Dec,21474,IC100
501090 Read Serial Number, Hex,21474,IC100
501100 Check Serial Number, Bol,-1,IC100
501110 Read Bootloader SW Version, Hex,21474,IC100
501120 Check Bootloader Version, Dec,1,IC100
501170 Change to Default Session, Dec,21474,IC100
501180 Read PN Suffix, Dec,21474,IC100
501190 Check PN Suffix, bin,1,IC100
501200 Read HW Version, Dec,21474,IC100
501210 Check HW Version, bin,1,IC100
502020 EOL Change Session, Dec,21474,IC100
502030 EOL Enter EOL mode, Hex,21474,IC100
502040 EOL Activation EOL, Bol,21474,IC100
502050 EOL Get Security Access, Hex,21474,IC100
502060 EOL Validate Key to ECU, Hex,21474,IC100
502070 EOL Check EOL mode, Bol,21474,IC100
502080 EOL Download TBX, Bol,21474,IC100
502090 Stand by Current, mA,179.2,IC100
502100 INIT uC Port Registers, Bol,-197,IC100
503010 PS P0 LR Detect Feedback, Dec,-9999,IC100
503020 PS P0 LB Feedback, Dec,17916,IC100
503030 PS P0 HB Feedback, Dec,96004,IC100
503040 PS P0 TI Feedback, Dec,-1946,IC100
503050 PS P0 DTRL Feedback, Dec,37092,IC100
503060 PS P0 Check DI DRL, Hex,0,IC100
503070 PS P1 LR Detect Feedback, Dec,-9999,IC100
504010 AI P0 Read ADC NTC-LB, Dec,-9999,IC100
504020 AI P0 Read ADC NTC-HB, Dec,0,IC100
504030 AI P0 Read ADC NTC-DRL, Dec,96003,IC100
504040 AI P0 Read ADC NTC-TI, Dec,-2147,IC100
504050 AI P0 Read ADC BINNING-LB, Dec,13107,IC100
504060 AI P0 Read ADC BINNING-DTRL, Dec,17916,IC100
504070 AI P0 Read ADC BINNING-TI, Dec,96003,IC100
504080 AI P1 Read ADC NTC-LB, Dec,-9999,IC100
504090 AI P1 Read ADC NTC-HB, Dec,17916,IC100
504100 AI P1 Read ADC NTC-DRL, Dec,96004,IC100
504110 AI P1 Read ADC NTC-TI, Dec,-1912,IC100
504120 AI P1 Read ADC BINNING-LB, Dec,17954,IC100
504130 AI P1 Read ADC BINNING-DRL, Dec,17916,IC100
504140 AI P1 Read ADC BINNING-TI, Dec,96004,IC100
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,-1912,IC100
504160 AI P1 Read ADC TEMP REF, Dec,37591,IC100
504165 AI P1 Disable VRef analogs, Bol,-144,IC100
504170 AI P1 Read ADC PCB TEMP OFF, Dec,-9999,IC100
504180 AI P1 Read ADC TEMP REF OFF, Dec,38039,IC100
505010 OC TI_OUTAGE ON, Bol,-144,IC100
