TestDescription,Value,Component
530050_CAL CH2 Voltage High FB,0,IC101
530060_CAL CH2 Voltage Meas Vf High,.0510,IC101
530070_CAL CH3 Voltage High FB,0,IC101
530080_CAL CH3 Voltage Meas Vf High,.0532,IC101
530090_CAL CH4 Voltage High FB,0,IC101
530100_CAL CH4 Voltage Meas Vf High,.0521,IC101
530120_CAL CH1 Voltage Low FB,0,IC101
530130_CAL CH1 Voltage Meas Vf Low,.0521,IC101
530140_CAL CH2 Voltage Low FB,0,IC101
530150_CAL CH2 Voltage Meas Vf Low,.0511,IC101
530160_CAL CH3 Voltage Low FB,0,IC101
530170_CAL CH3 Voltage Meas Vf Low,.0533,IC101
530180_CAL CH4 Voltage Low FB,0,IC101
530190_CAL CH4 Voltage Meas Vf Low,.0521,IC101
500240_[A-01][A-22] PCHK 22A POWER SUPPLY CHANNEL 4,6.699,C490
500240_[A-01][A-22] PCHK 22A POWER SUPPLY CHANNEL 4,3.089,C490
500240_[A-01][A-22] PCHK 22A POWER SUPPLY CHANNEL 4,11.71,C490
500240_[A-01][A-22] PCHK 22A POWER SUPPLY CHANNEL 4,36.13,C490
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
501020_IDENT_Enter_session_03,14,C400
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
503100_Read_U12_Load_Feedback,1,T200
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0039,T2201
505148_OC Read ADC LINCOLN STAR CONTROL,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0033,T2201
505148_OC Read ADC LINCOLN STAR CONTROL,0,T2201
53540 DTRL1 Patt2 Voltage,5.256,T1402
509010_BST CHK Phase 1,255,R214
509030_BST CHK Phase 2,0,R214
530030_CAL CH1 Voltage High FB,0,R214
530040_CAL CH1 Voltage Meas Vf High,.0587,R214
530050_CAL CH2 Voltage High FB,0,R214
530080_CAL CH3 Voltage Meas Vf High,.0565,R214
530120_CAL CH1 Voltage Low FB,0,R214
530130_CAL CH1 Voltage Meas Vf Low,.0427,R214
530140_CAL CH2 Voltage Low FB,0,R214
530170_CAL CH3 Voltage Meas Vf Low,.0407,R214
509010_BST CHK Phase 1,255,R214
509030_BST CHK Phase 2,0,R214
530030_CAL CH1 Voltage High FB,0,R214
530040_CAL CH1 Voltage Meas Vf High,.0587,R214
530050_CAL CH2 Voltage High FB,0,R214
530080_CAL CH3 Voltage Meas Vf High,.0565,R214
530120_CAL CH1 Voltage Low FB,0,R214
530130_CAL CH1 Voltage Meas Vf Low,.0453,R214
530140_CAL CH2 Voltage Low FB,0,R214
530170_CAL CH3 Voltage Meas Vf Low,.0433,R214
509010_BST CHK Phase 1,255,R214
509030_BST CHK Phase 2,0,R214
530030_CAL CH1 Voltage High FB,0,R214
530040_CAL CH1 Voltage Meas Vf High,.0588,R214
530050_CAL CH2 Voltage High FB,0,R214
530080_CAL CH3 Voltage Meas Vf High,.0566,R214
530120_CAL CH1 Voltage Low FB,0,R214
530130_CAL CH1 Voltage Meas Vf Low,.0455,R214
530140_CAL CH2 Voltage Low FB,0,R214
530170_CAL CH3 Voltage Meas Vf Low,.0435,R214
503080_Read_NTC_ANI2,1023,R345
503080_Read_NTC_ANI2,1023,R345
503080_Read_NTC_ANI2,1023,R345
503080_Read_NTC_ANI2,1023,R345
503080_Read_NTC_ANI2,1023,R345
503080_Read_NTC_ANI2,1023,R345
503080_Read_NTC_ANI2,1023,R345
508050_Measure_Window_Lifter_Up,.0004,T301
508050_Measure_Window_Lifter_Up,.0002,T301
508050_Measure_Window_Lifter_Up,.0008,T301
508050_Measure_Window_Lifter_Up,.0004,T301
508050_Measure_Window_Lifter_Up,.0003,T301
508050_Measure_Window_Lifter_Up,.0010,T301
502030_INIT_EOL_Request_Seed,0,IC200
502030_INIT_EOL_Request_Seed,0,IC200
501010_PCHK Grounds,9.999,X400
501010_PCHK Grounds,9.999,X400
501010_PCHK Grounds,9.999,X400
501010_PCHK Grounds,9.999,X400
501010_PCHK Grounds,9.999,X400
r1010,22457,R1010
r1010,-4950,R1010
d1401:cr,1.413,D1401
d1401:cr,1.413,D1401
d1401:cr,1.413,D1401
r1076,18720,R1076
r1076,80144,R1076
CAUSER,1,R1076
r1066,89623,R1066
CAUSER,29,R1066
CAUSER,29,L1000
d1003:cr,1.413,D1003
d1003:cr,1.413,D1003
d1002:cr,1.413,D1002
d1002:cr,1.413,D1002
d1003:cr,1.413,D1003
d1002:cr,1.413,D1002
r1303,9970.,R1303
r1303,10870,R1303
r1303,65476,R1303
r1303,16633,R1303
d1401:cr,1.413,D1401
d1401:cr,1.413,D1401
l1600:l2,9.442,L1600
l1600:l1,7.923,L1600
d1401:cr,1.413,D1401
d1401:cr,1.413,D1401
t1800:ana:On,2.470,T1800
t1800:ana:Off,2.470,T1800
16_100160_Verify_Costumer_PN,0,T1800
z1002:cr,1.698,Z1002
z1002:cr,1.700,Z1002
z1002:cr,1.695,Z1002
c1004,48163,C1004
c1004,48665,C1004
9_100100_Software_Version,0,L1600
9_100100_Software_Version,0,L1600
9_100100_Software_Version,0,L1600
9_100100_Software_Version,0,L1600
9_100100_Software_Version,0,L1600
9_100100_Software_Version,0,L1600
9_100100_Software_Version,0,L1600
9_100100_Software_Version,0,L1600
r1410,89853,R1410
r1410,94519,R1410
r1410,21633,R1410
r1600,34028,L1600
r1601,34028,L1600
9_100100_Software_Version,0,L1600
d1002:cr,1.414,D1002
d1002:cr,1.413,D1002
c1200,37.00,C1200
r1809,51976,C1200
c1200,37.99,C1200
CAUSER,29,C1200
r1304,-1063,R1304
r1304,-1499,R1304
c1505,74.99,C1505
c1505,85.00,C1505
c1700,50.99,C1700
c1700,53.99,C1700
CAUSER,21,C1700
9_100100_Software_Version,0,L1600
r1403,40157,R1403
r1403,11261,R1403
r1403,-2591,R1403
r147,10755,R147
r147,10755,R147
c203,64.99,C203
l1600:l1,26136,L1600
r1601,31201,L1600
9_100100_Software_Version,0,L1600
d1401:cr,1.413,D1401
d1401:cr,1.413,D1401
z1002:cr,1.710,Z1002
CAUSER,42,Z1002
CAUSER,42,Z1002
d1401:cr,1.413,D1401
d1401:cr,1.414,D1401
d1001:cr1-3,1.413,D1001
d1001:cr2-3,1.413,D1001
d1005:cr1-3,1.413,D1001
d1001:cr1-3,1.414,D1001
d1001:cr2-3,1.414,D1001
d1005:cr1-3,1.414,D1001
d1001:cr1-3,1.413,D1001
d1001:cr2-3,1.413,D1001
d1005:cr1-3,1.413,D1001
d1001:cr1-3,1.414,D1001
d1001:cr2-3,1.414,D1001
d1005:cr1-3,1.414,D1001
d1007:cr1-3,1.413,D1007
d1007:cr2-3,1.413,D1007
d1007:cr1-3,1.414,D1007
d1007:cr2-3,1.414,D1007
d1401:cr,1.414,D1401
d1401:cr,1.413,D1401
9_100100_Software_Version,0,L1600
CAUSER,29,L1600
9_100100_Software_Version,0,L1600
CAUSER,29,L1600
CAUSER,2,I300
68_500.B AN04 HSD_H,130,I300
68_500.B AN04 HSD_H,130,I300
CAUSER,48,I700
CAUSER,42,I700
143_730.3B F_Safe Mode Freq DC50%,242.7,I700
143_730.3B F_Safe Mode Freq DC50%,242.8,I700
143_730.3B F_Safe Mode Freq DC50%,247.2,I700
143_730.3B F_Safe Mode Freq DC50%,247.7,I700
143_730.3B F_Safe Mode Freq DC50%,247.5,I700
143_730.3B F_Safe Mode Freq DC50%,246.3,I700
143_730.3B F_Safe Mode Freq DC50%,245.0,I700
143_730.3B F_Safe Mode Freq DC50%,245.8,I700
143_730.3B F_Safe Mode Freq DC50%,245.5,I700
CAUSER,2,I300
0;I300;0,8,I300
96_580.C Read_Port_E,142,I300
96_580.C Read_Port_E,142,I300
Feedback_PDU_Motor_Pat1,149,I101
Feedback_PDU_Motor_Pat1,149,I101
Feedback_PDU_Motor_Pat1,149,I101
ELOAD_5A,-.009,L101
ELOAD_5A,-.009,L101
P222:P222_Voltage,1.388,K202
P278:P278_Voltage,5.016,K202
P222:P222_Voltage,1.390,K202
P278:P278_Voltage,5.017,K202
P222:P222_Voltage,1.391,K202
P278:P278_Voltage,5.015,K202
P222:P222_Voltage,1.391,K202
P278:P278_Voltage,5.016,K202
P222:P222_Voltage,1.392,K202
P278:P278_Voltage,5.016,K202
CAUSER,29,T204
t303:r1,22889,T204
t303:r1,22889,T204
t303:r1,19866,T204
t303:r1,26997,T204
t303:r1,27955,T204
t303:r1,23575,T204
t303:r1,20382,T204
d901:cr,1.421,D901
d202:cr,1.421,D901
CAUSER,29,D102
CAUSER,42,IC300
d500,1.401,D500
d500,1.401,D500
d500,1.404,D500
d500,1.404,D500
testjet,0,D500
d005,1.423,D005
d005,1.423,D005
d005,1.423,D005
d005,1.423,D005
d005,1.423,D005
CAUSER,29,D500
CAUSER,29,C309
CAUSER,29,D500
CAUSER,29,RN701
CAUSER,29,D500
CAUSER,29,D500
CAUSER,29,D217
CAUSER,29,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
D210,2.535,D217
D210,2.542,D217
CAUSER,21,D217
CAUSER,29,R710
79_[J5-50]LIN6CRT(TJA1021TK),0,R710
80_[J6-15]LIN6Splicetest,0,R710
CAUSER,29,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
CAUSER,29,D212
806_DTCs_Allowed,-99,D212
806_DTCs_Allowed,-99,D212
396_[J7-19]Reverse_Lamp_Ckt_On,12.07,D212
403_[J5-13]Stop_Lamps_CHMSL_Ckt_On,11.82,D212
806_DTCs_Allowed,-99,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
138_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,29,T202
107_ADFDBKforBCM_B1_SS.1%FdbkOn,0,R123
CAUSER,29,R123
107_ADFDBKforBCM_B1_SS.1%FdbkOn,0,R123
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
CAUSER,29,R322
123_[J5-19]RR_Door_Ajar_CktFdbkOff,0,R322
92_[J5-38]LIN5CRT(TJA1021TK),0,R719
CAUSER,29,R719
92_[J5-38]LIN5CRT(TJA1021TK),0,R719
CAUSER,1,R719
677_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.36,D4009
677_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.31,D4009
CAUSER,29,D4009
116_PulseScan1FdbkOn,0,R348
116_PulseScan1FdbkOn,0,R348
CAUSER,50,R348
Recog,5,R348
Recog,5,V6007
77_[J5-37]LIN4,0,V6007
CAUSER,1,V6007
CAUSER,29,D212
CAUSER,29,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D6113
479_[J7-6]RF_High_Beam_CktVoltage,-.001,D6113
479_[J7-6]RF_High_Beam_CktVoltage,-.001,D6113
CAUSER,29,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
76_[J8] Nominal Current On,550,V700
CAUSER,50,V700
Recog,5,V700
62_[J8] Nominal Current On,569.6,V700
Recog,5,V700
258_[J2-24]Autolamp_Sensor_InputLo,0,V700
259_[J2-24]Autolamp_Sensor_InputLo,0,V700
CAUSER,29,C220
112_[J2-19]Hazard_CktFdbkOff,0,C220
3_Read_LB2,1,C220
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
L6000_C,0,Q800
L6000_C,0,Q800
CAUSER,29,Q800
Recog,5,Q800
E2CON1_6,0,Q800
759_[J4-26]Parkaid_Sensor_Power_Re,.0287,Q800
764_Read_PAM_Variant_App_SW_Number,-1,Q800
759_[J4-26]Parkaid_Sensor_Power_Re,.0325,Q800
764_Read_PAM_Variant_App_SW_Number,-1,Q800
CAUSER,29,D4009
677_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.37,D4009
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,1,T202
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
206_[J5-45]RR_Child_Lock_FB_CktFdb,0,R2027
CAUSER,29,R2027
207_[J5-45]RR_Child_Lock_FB_CktFdb,0,R2027
207_[J5-45]RR_Child_Lock_FB_CktFdb,0,R2027
CAUSER,42,R2027
173_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
157_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
590_[J4-22][J4-20]RL_CAP_SENSOR_DA,4512.,R6803
CAUSER,29,R6803
611_[J4-22]RL_CAP_SENSOR_DATA_CKTV,4730.,R6803
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
40_[J7_22][J6_40] RP1 to LF DRL S,1,D4009
453_[J7-11]LF_High_Beam_CktVoltage,-.007,D6112
CAUSER,29,D6112
453_[J7-11]LF_High_Beam_CktVoltage,-.001,D6112
116_PulseScan1FdbkOn,0,T201
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
281_Read Fuel Pump ON FDBK (Open l,0,V4015
CAUSER,50,V4015
Recog,5,V4015
281_Read Fuel Pump ON FDBK (Open l,0,V4015
677_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.36,D4009
CAUSER,29,D4009
CAUSER,29,D202
118_[J2-18]Horn_Relay_Input_CktFdb,0,D202
327_[J6-8]BattCurrentSenseFrequenc,9999,V6002
327_[J6-8]BattCurrentSenseFrequenc,9999,V6002
313_[J6-8]BattCurrentSenseFrequenc,9.999,V6002
314_[J6-8]BattCurrentSenseDC,9.999,V6002
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
173_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D205
126_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,D211
109_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
3_Read_LB2,1,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
CAUSER,29,T6013
74_Upload EOL ToolBox,-1,T6013
59_ENTER EOL MODE AND INITIALIZAT,1,T6013
59_ENTER EOL MODE AND INITIALIZAT,1,T6013
762_Get_Self_Test_Results,-1,T8900
CAUSER,2,T8900
770_Get_Self_Test_Results,1,T8900
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
Recog,5,Q701
270_Check_32KHz_Oscillator_Frequen,9999,Q701
256_Check_32KHz_Oscillator_Frequen,9.999,Q701
CAUSER,29,D210
CAUSER,29,D210
157_[J5-34]Liftgate_Glass_Decklid_,0,D210
157_[J5-34]Liftgate_Glass_Decklid_,0,D210
D212,2.540,D210
CAUSER,4,Z6000
CAUSER,29,Z6000
181_PulseScan2FdbkOn,2,Z6000
167_PulseScan2FdbkOn,2,Z6000
167_PulseScan2FdbkOn,2,Z6000
CAUSER,29,D217
CAUSER,29,D217
CAUSER,29,D217
233_[J5-9]DI_Spare_3FdbkOn,1,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
120_[J5-1]Liftgate_Switch_CktFdbkO,1,D209
CAUSER,29,D209
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D209
677_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.37,D4009
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.28,D4009
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
781_Write_Key_Code_Card_Number,1,D212
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.28,D4009
CAUSER,29,D217
CAUSER,29,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
124_[J2-14]Clutch_Input_CktFdbkOn,0,D217
CAUSER,48,D217
Recog,5,D217
120_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
201_[J5-18]LR_Child_Lock_FB_CktFdb,0,R2052
CAUSER,29,R2052
187_[J5-18]LR_Child_Lock_FB_CktFdO,0,R2052
781_Write_Key_Code_Card_Number,1,R2052
CAUSER,29,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
R701,18128,D212
R737,36597,D212
248_[J2-38]Key_In_Ignition_CktFdbk,324,R254
CAUSER,29,R254
234_[J2-38]Key_In_Ignition_CktFdbk,321,R254
CAUSER,29,R254
Fuse_23,0,R254
Dist_Izq,0,R254
Dist_Der,0,R254
CAUSER,29,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
3_Read_LB2,1,D212
173_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
157_[J5-34]Liftgate_Glass_Decklid_,0,D210
157_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D210
302_Read_No_polling_Liftgate_Glass,0,D201
302_Read_No_polling_Liftgate_Glass,0,D201
Recog,5,D201
CAUSER,20,D201
101_[J6-6]InactivePulseScan2Fdbk,188,D201
116_PulseScan1FdbkOn,0,T201
116_PulseScan1FdbkOn,0,T201
CAUSER,29,T201
126_[J2-19]Hazard_CktFdbkOff,0,D211
126_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,D211
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
CAUSER,29,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
157_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
750_[J6-7]Parkaid_Sensor_Power_Fro,.0120,R7001
CAUSER,29,R7001
59_ENTER EOL MODE AND INITIALIZAT,1,R7001
677_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.31,D4009
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.30,D4009
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
Recog,5,V6000
641_[J4-31][J4-14]Request ID,-2,V6000
641_[J4-31][J4-14]Request ID,-2,V6000
455_[J7-12]LF_Fog_Lamp_CktVoltageO,.0140,V4007
455_[J7-12]LF_Fog_Lamp_CktVoltageO,.0309,V4007
455_[J7-12]LF_Fog_Lamp_CktVoltageO,.0320,V4007
CAUSER,50,V4007
Recog,5,V4007
348_[J6-40]LF_DRL_Lamp_Ckt_100%Cur,0,V4006
R4045,7.029,V4006
E2CON14_1,0,V4006
E2CON16_2,0,V4006
L102,-828.,V4006
CAUSER,21,V4006
CAUSER,29,V4006
CAUSER,54,V4006
Recog,5,V4006
349_[J6-40]LF_DRL_Lamp_CktCurrentS,0,V4006
R4045,7.009,V4006
R4045,7.008,V4006
173_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D205
120_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
124_[J5-14]Decklid_Liftglass_Switc,1,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
229_[J5-48]DI_Spare_1FdbkOn,1,D216
229_[J5-48]DI_Spare_1FdbkOn,1,D216
CAUSER,29,D216
590_[J4-22][J4-20]RL_CAP_SENSOR_DA,4823.,R6803
611_[J4-22]RL_CAP_SENSOR_DATA_CKTV,4032.,R6803
169_[J5-31]LR_LED_Turn_Outage_CktF,0,R2052
112_[J2-19]Hazard_CktFdbkOff,0,D211
124_[J5-14]Decklid_Liftglass_Switc,1,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
173_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,R5071
667_Read_LHH_LIMP Fdbk,40960,R5071
680_Read_LHH_LIMP Fdbk,40960,R5071
CAUSER,50,V801
Recog,5,V801
764_Get_Self_Test_Results,1,V801
752_[J6-7]Parkaid_Sensor_Power_Fro,.0436,V801
752_[J6-7]Parkaid_Sensor_Power_Fro,.0429,V801
274_Read Start Button LED FDBK (Op,0,T5023
CAUSER,29,T5023
275_Read Start Button LED FDBK (Op,0,T5023
275_Read Start Button LED FDBK (Op,0,T5023
275_Read Start Button LED FDBK (Op,1,T5023
CAUSER,29,R306
104_[J2-18]Horn_Relay_Input_CktFdb,0,R306
CAUSER,29,R6016
CAUSER,42,R6016
CAUSER,42,R6016
281_Read Fuel Pump ON FDBK (Open l,145,R6016
486_[J7-5]RF_Fog_Lamp_CktFdbkOn,0,R6016
781_Write_Key_Code_Card_Number,1,R6016
486_[J7-5]RF_Fog_Lamp_CktFdbkOn,0,R6016
486_[J7-5]RF_Fog_Lamp_CktFdbkOn,0,R6016
610_[J4-5]FR_CAP_SENSOR_DATA_CKTVo,910.5,R6016
CAUSER,29,R306
CAUSER,42,R306
126_[J2-19]Hazard_CktFdbkOff,0,R306
126_[J2-19]Hazard_CktFdbkOff,0,R306
112_[J2-19]Hazard_CktFdbkOff,0,R306
4_Compare_LBS,1,R306
4_Compare_LBS,1,R306
4_Compare_LBS,1,R306
4_Compare_LBS,1,R306
CAUSER,29,R306
Dist_Izq,0,R306
Dist_Der,0,R306
Circuit_Breaker,0,R306
750_[J6-7]Parkaid_Sensor_Power_Fro,.0099,V801
Recog,5,V801
116_PulseScan1FdbkOn,0,T201
CAUSER,29,T201
4_Compare_LBS,1,T201
4_Compare_LBS,1,T201
CAUSER,29,D212
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,R2004
258_[J2-24]Autolamp_Sensor_InputLo,27,R2004
259_[J2-24]Autolamp_Sensor_InputLo,554,R2004
173_[J5-47]Park_Brake_CktFdbkOn,1,R323
159_[J5-47]Park_Brake_CktFdbkOn,1,R323
118_[J2-18]Horn_Relay_Input_CktFdb,0,D202
CAUSER,29,D202
120_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
124_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
139_[J5-42]LF_Door_Latch_Fdbk_CktF,0,R290
CAUSER,29,R290
59_ENTER EOL MODE AND INITIALIZAT,1,R290
403_[J5-26]LR_Turn_Lamp_Ckt100%Cur,41,R4063
403_[J5-26]LR_Turn_Lamp_Ckt100%Cur,60,R4063
403_[J5-26]LR_Turn_Lamp_Ckt100%Cur,41,R4063
CAUSER,29,R4063
CAUSER,50,V6001
Recog,5,V6001
532_[J6-2]TT_LR_Stop_Turn_Relay_Ct,13469,V6001
532_[J6-2]TT_LR_Stop_Turn_Relay_Ct,13470,V6001
118_[J5-21]RF_Door_Ajar_CktFdbkOff,0,R212
118_[J5-21]RF_Door_Ajar_CktFdbkOff,0,R212
118_[J5-21]RF_Door_Ajar_CktFdbkOff,0,R212
CAUSER,29,R212
CAUSER,20,R212
CAUSER,29,R212
CAUSER,29,R212
CAUSER,29,R212
B2CON19,0,R212
119_[J5-21]RF_Door_Ajar_CktFdbkOff,0,R212
C258,157.2,R212
158_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D205
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
453_[J7-11]LF_High_Beam_CktVoltage,0,D6112
CAUSER,29,D6112
CAUSER,20,D6112
157_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D210
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
242_[J2-37]Run_Start_CktFdbkOn,1023,R2073
242_[J2-37]Run_Start_CktFdbkOn,1023,R2073
Recog,5,C262
78_[J5-38]LIN5CRT(TJA1021TK),0,C262
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
CAUSER,29,D213
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
331_[J5-49]ENS_Signal_CktFrequency,9999,D2000
CAUSER,29,D2000
CAUSER,20,D2000
331_[J5-49]ENS_Signal_CktFrequency,9999,D2000
CAUSER,29,D2000
121_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
4_MPC560_Erase_Flash,0,D212
4_MPC560_Erase_Flash,0,D212
4_MPC560_Erase_Flash,0,D212
4_MPC560_Erase_Flash,0,D212
CAUSER,42,D212
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
100_[J6-3]Batt_Current_Sense_5V_Fe,0,V6002
59_[J7-17][J3-06][J3-10]12V Dual,11.10,V6002
CAUSER,50,V6002
Recog,5,V6002
100_[J6-3]Batt_Current_Sense_5V_Fe,0,V6002
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
604_[J4-4]RR_CAP_SENSOR_DATA_CKT V,.0089,M6001
CAUSER,29,M6001
626_[J4-4]RR_CAP_SENSOR_DATA_CKT V,.0164,M6001
3_MPC560_ContactMCU,0,V6006
3_MPC560_ContactMCU,0,V6006
3_MPC560_ContactMCU,0,V6006
3_MPC560_ContactMCU,0,V6006
CAUSER,2,V6006
121_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
406_[J2-44]White_Light_CktCurrentS,20,R4059
406_[J2-44]White_Light_CktCurrentS,6,R4059
CAUSER,50,R4059
Recog,5,R4059
R4059,58816,R4059
CAUSER,42,D4009
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
CAUSER,29,D212
